Estimate,Std. Error,t value,Pr(>|t|),Protein
-0.0514046061045133,0.00471592360889759,-10.9002202680993,1.24101170963219e-27,agr2
0.22709731786157,0.00792150895751001,28.6684417173157,3.27157845346086e-179,agr3
0.0374057202900666,0.0137207515374778,2.72621511933176,0.0064088197294824,agrn
0.382723671238949,0.0084981333181749,45.0362046474866,0,agrp
0.24767069456421,0.0237640339199094,10.4220813435514,2.11121725345535e-25,agt
0.0487962028764555,0.00602424882443235,8.09996470905291,5.62486634587523e-16,agxt
0.059441261667473,0.0069370580337713,8.56865567191428,1.07736414817933e-17,ahcy
0.39461400492531,0.0177544483632383,22.226204771441,8.44993340921808e-109,ahnak
0.0710554504316736,0.0187265226974089,3.79437504654857,0.000148228596262601,ahnak2
0.040279251346073,0.00802807788686884,5.01729703095631,5.26175466549189e-07,ahsa1
